module,name,title,description,type,format,constraints.maxLength,constraints.enum,constraints.pattern,constraints.maximum,constraints.minimum,encodings,ordered,missingValues,trueValues,falseValues,repo_link,standardsMappings.type,standardsMappings.label,standardsMappings.url,standardsMappings.source,standardsMappings.id,relatedConcepts.type,relatedConcepts.label,relatedConcepts.url,relatedConcepts.source,relatedConcepts.id,univarStats.median,univarStats.mean,univarStats.std,univarStats.min,univarStats.max,univarStats.mode,univarStats.count,univarStats.twentyFifthPercentile,univarStats.seventyFifthPercentile,univarStats.categoricalMarginals.name,univarStats.categoricalMarginals.count,original_name,constraints.required,source
Organizational readiness for implementing change (ORIC),org_readiness_momentum,Confidence in maintaining momentum,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here feel confident that they can keep the momentum going in implementing [intervention].],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or7,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-13"
Organizational readiness for implementing change (ORIC),org_readiness_challenges,Confidence in handling challenges,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here feel confident that they can handle the challenges that might arise in implementing [intervention].],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or8,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-14"
Organizational readiness for implementing change (ORIC),org_readiness_determin,Determination in implementating,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here are determined to implement [intervention].],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or9,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-15"
Organizational readiness for implementing change (ORIC),org_readiness_coordinate,Confidence in coordinating tasks,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here feel confident that they can coordinate tasks so that implementation goes smoothly.],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or10,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-16"
Organizational readiness for implementing change (ORIC),org_readiness_motivation,Motivation to implement,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here are motivated to implement [intervention].],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or11,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-17"
Organizational readiness for implementing change (ORIC),org_readiness_politics,Confidence in managing politics,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here feel confident that they can manage the politics of implementing [intervention].],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or12,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-18"
Organizational Climate: Stress,org_climate_pressure,Pressure,Rate each of the following items on a scale of 1-5 where 1=Disagree and 5=Agree [Staff members are under too much pressure to do their jobs effectively],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oc1,,TCU Survey of Organizational Functioning (Stress Measure)  - source document available at: http://ibr.tcu.edu/wp-content/uploads/2013/06/SOF-sg.pdf
Organizational Climate: Stress,org_climate_stress,Stress and strain signs,Rate each of the following items on a scale of 1-5 where 1=Disagree and 5=Agree [Staff members are under too much pressure to do their jobs effectively],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oc2,,TCU Survey of Organizational Functioning (Stress Measure)  - source document available at: http://ibr.tcu.edu/wp-content/uploads/2013/06/SOF-sg.pdf
Organizational Climate: Stress,org_climate_workload,Heavy workload,Rate each of the following items on a scale of 1-5 where 1=Disagree and 5=Agree [Staff members are under too much pressure to do their jobs effectively],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oc3,,TCU Survey of Organizational Functioning (Stress Measure)  - source document available at: http://ibr.tcu.edu/wp-content/uploads/2013/06/SOF-sg.pdf
Organizational Climate: Stress,org_climate_frustration,Frustration,Rate each of the following items on a scale of 1-5 where 1=Disagree and 5=Agree [Staff members are under too much pressure to do their jobs effectively],string,,,1 Disagree|2|3|4|5 Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oc4,,TCU Survey of Organizational Functioning (Stress Measure)  - source document available at: http://ibr.tcu.edu/wp-content/uploads/2013/06/SOF-sg.pdf
Staff Attitudes Toward MOUD,attitude_methadone,MOUD Attitudes: Methadone,"Based on your knowledge and personal experience, to what extent do you consider each of the following medications for opioid use disorder to be effective with justice-involved populations? (1=Not at all Effective, 7=Very Effective; provide   Don't know  option.) [Staff members are under too much pressure to do their jobs effectively]",string,,,1 Not at all Effective|2|3|4|5|6|7 Very Effective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sm1,,
Staff Attitudes Toward MOUD,attitude_suboxone_oral,MOUD Attitudes: Buprenorphine (Suboxone) - oral,"Based on your knowledge and personal experience, to what extent do you consider each of the following medications for opioid use disorder to be effective with justice-involved populations? (1=Not at all Effective, 7=Very Effective; provide   Don't know  option.) [Staff members are under too much pressure to do their jobs effectively]",string,,,1 Not at all Effective|2|3|4|5|6|7 Very Effective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sm2,,
Staff Attitudes Toward MOUD,attitude_sublocade_inject,MOUD Attitudes: Buprenorphine (Sublocade) - monthly injection,"Based on your knowledge and personal experience, to what extent do you consider each of the following medications for opioid use disorder to be effective with justice-involved populations? (1=Not at all Effective, 7=Very Effective; provide   Don't know  option.) [Staff members are under too much pressure to do their jobs effectively]",string,,,1 Not at all Effective|2|3|4|5|6|7 Very Effective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sm3,,
Staff Attitudes Toward MOUD,attitude_naltrexone_oral,MOUD Attitudes: Naltrexone - oral,"Based on your knowledge and personal experience, to what extent do you consider each of the following medications for opioid use disorder to be effective with justice-involved populations? (1=Not at all Effective, 7=Very Effective; provide   Don't know  option.) [Staff members are under too much pressure to do their jobs effectively]",string,,,1 Not at all Effective|2|3|4|5|6|7 Very Effective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sm4,,
Staff Attitudes Toward MOUD,attitude_naltrexone_inject,MOUD Attitudes: Naltrexone (Vivitrol) - monthly injection,"Based on your knowledge and personal experience, to what extent do you consider each of the following medications for opioid use disorder to be effective with justice-involved populations? (1=Not at all Effective, 7=Very Effective; provide   Don't know  option.) [Staff members are under too much pressure to do their jobs effectively]",string,,,1 Not at all Effective|2|3|4|5|6|7 Very Effective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sm5,,
Staff Attitudes Toward MOUD,acceptance_methadone,MOUD Acceptance: Methadone,"In your opinion, how acceptable is each of the following medications for the treatment of opioid use disorder with justice-involved populations? (1=Completely Unacceptable, 7 = Very Acceptable)[Staff members are under too much pressure to do their jobs effectively]",string,,,1 Completely unacceptable|2|3|4|5|6|7 Very Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sm6,,
Staff Attitudes Toward MOUD,acceptance_suboxone_oral,MOUD Acceptance: Buprenorphine (Suboxone) - oral,"In your opinion, how acceptable is each of the following medications for the treatment of opioid use disorder with justice-involved populations? (1=Completely Unacceptable, 7 = Very Acceptable)[Staff members are under too much pressure to do their jobs effectively]",string,,,1 Completely unacceptable|2|3|4|5|6|7 Very Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sm7,,
Staff Attitudes Toward MOUD,acceptance_sublocade_inject,MOUD Acceptance: Buprenorphine (Sublocade) - monthly injection,"In your opinion, how acceptable is each of the following medications for the treatment of opioid use disorder with justice-involved populations? (1=Completely Unacceptable, 7 = Very Acceptable)[Staff members are under too much pressure to do their jobs effectively]",string,,,1 Completely unacceptable|2|3|4|5|6|7 Very Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sm8,,
Staff Attitudes Toward MOUD,acceptance_naltrexone_oral,MOUD Acceptance: Naltrexone - oral,"In your opinion, how acceptable is each of the following medications for the treatment of opioid use disorder with justice-involved populations? (1=Completely Unacceptable, 7 = Very Acceptable)[Staff members are under too much pressure to do their jobs effectively]",string,,,1 Completely unacceptable|2|3|4|5|6|7 Very Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sm9,,
Staff Attitudes Toward MOUD,acceptance_naltrexone_inject,MOUD Acceptance: Naltrexone (Vivitrol) - monthly injection,"In your opinion, how acceptable is each of the following medications for the treatment of opioid use disorder with justice-involved populations? (1=Completely Unacceptable, 7 = Very Acceptable)[Staff members are under too much pressure to do their jobs effectively]",string,,,1 Completely unacceptable|2|3|4|5|6|7 Very Acceptable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sm10,,
Staff Attitudes Toward MOUD,training_methadone,MOUD Training: Methadone,"To what extent have you received specific training about the following medications for opioid use disorder? (1=No Training, 7=Extensive Training)[Staff members are under too much pressure to do their jobs effectively]",string,,,1 No training|2|3|4|5|6|7 Extensive Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sm11,,
Staff Attitudes Toward MOUD,training_suboxone_oral,MOUD Training: Buprenorphine (Suboxone) - oral,"To what extent have you received specific training about the following medications for opioid use disorder? (1=No Training, 7=Extensive Training)[Staff members are under too much pressure to do their jobs effectively]",string,,,1 No training|2|3|4|5|6|7 Extensive Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sm12,,
Staff Attitudes Toward MOUD,training_sublocade_inject,MOUD Training: Buprenorphine (Sublocade) - monthly injection,"To what extent have you received specific training about the following medications for opioid use disorder? (1=No Training, 7=Extensive Training)[Staff members are under too much pressure to do their jobs effectively]",string,,,1 No training|2|3|4|5|6|7 Extensive Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sm13,,
Staff Attitudes Toward MOUD,training_naltrexone_oral,MOUD Training: Naltrexone - oral,"To what extent have you received specific training about the following medications for opioid use disorder? (1=No Training, 7=Extensive Training)[Staff members are under too much pressure to do their jobs effectively]",string,,,1 No training|2|3|4|5|6|7 Extensive Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sm14,,
Staff Attitudes Toward MOUD,training_naltrexone_inject,MOUD Training: Naltrexone (Vivitrol) - monthly injection,"To what extent have you received specific training about the following medications for opioid use disorder? (1=No Training, 7=Extensive Training)[Staff members are under too much pressure to do their jobs effectively]",string,,,1 No training|2|3|4|5|6|7 Extensive Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sm15,,
Implementation Outcome Measures,outcome_fitting,Implementation Outcome Measures: Fitting,Staff members are under too much pressure to do their jobs effectively,string,,,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,im1,,
Implementation Outcome Measures,outcome_suitable,Implementation Outcome Measures: Suitable,Staff members are under too much pressure to do their jobs effectively,string,,,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,im2,,
Implementation Outcome Measures,outcome_applicable,Implementation Outcome Measures: Applicable,Staff members are under too much pressure to do their jobs effectively,string,,,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,im3,,
Implementation Outcome Measures,outcome_good match,Implementation Outcome Measures: Good match.,Staff members are under too much pressure to do their jobs effectively,string,,,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,im4,,
Implementation Outcome Measures,outcome_implementable,Implementation Outcome Measures: Implementable.,Staff members are under too much pressure to do their jobs effectively,string,,,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,im5,,
Implementation Outcome Measures,outcome_possible,Implementation Outcome Measures: Possible,Staff members are under too much pressure to do their jobs effectively,string,,,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,im6,,
Implementation Outcome Measures,outcome_doable,Implementation Outcome Measures: Doable,Staff members are under too much pressure to do their jobs effectively,string,,,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,im7,,
Implementation Outcome Measures,outcome_easy to use,Implementation Outcome Measures: Easy to use,Staff members are under too much pressure to do their jobs effectively,string,,,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,im8,,
Implementation Outcome Measures,outcome_approval,Implementation Outcome Measures: Approval,Staff members are under too much pressure to do their jobs effectively,string,,,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,im9,,
Implementation Outcome Measures,outcome_appealing,Implementation Outcome Measures: Appealing,Staff members are under too much pressure to do their jobs effectively,string,,,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,im10,,
Implementation Outcome Measures,outcome_like,Implementation Outcome Measures: Like,Staff members are under too much pressure to do their jobs effectively,string,,,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,im11,,
Implementation Outcome Measures,outcome_welcome,Implementation Outcome Measures: Welcome,Staff members are under too much pressure to do their jobs effectively,string,,,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,im12,,
