module,name,title,description,type,format,constraints.maxLength,constraints.enum,constraints.pattern,constraints.maximum,constraints.minimum,encodings,ordered,missingValues,trueValues,falseValues,repo_link,standardsMappings.type,standardsMappings.label,standardsMappings.url,standardsMappings.source,standardsMappings.id,relatedConcepts.type,relatedConcepts.label,relatedConcepts.url,relatedConcepts.source,relatedConcepts.id,univarStats.median,univarStats.mean,univarStats.std,univarStats.min,univarStats.max,univarStats.mode,univarStats.count,univarStats.twentyFifthPercentile,univarStats.seventyFifthPercentile,univarStats.categoricalMarginals.name,univarStats.categoricalMarginals.count,constraints.required,original_name,notes
Demographics,race_asian,Race: Asian,[Asian] What is your race? SELECT ALL THAT APPLY,boolean,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,True,d3_asian,
Demographics,race_other,Race: Other,[Other] What is your race? SELECT ALL THAT APPLY,boolean,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,True,d3_other,
Demographics,race_AI_tribe,Race: American indian principal tribe or community specified,[American indian principal tribe or community specified] What is your race? SELECT ALL THAT APPLY,string,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d3_specify_tribe,
Demographics,race_other_specified,Race: Other specified,[Other specified] What is your race? SELECT ALL THAT APPLY,string,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d3_specify_other,
Demographics,hispanic_latino,"Hispanic, Latino, or Spanish Origin","Are you of Hispanic, Latino, or Spanish origin?",boolean,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,True,d2,
Demographics,sex_orient_category,Sexual orientation,Sexual orientation:  Do you think of yourself as…,string,,,"Straight or heterosexual|Lesbian or gay|Bisexual|Queer,pansexual, and/or questioning|Something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d4c,
Demographics,sex_orient_other,Sexual orientation:  Other specified,Sexual orientation:  Do you think of yourself as…,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d4c_specify_other,
Demographics,ever_pregnant,Ever pregnant,Have you ever been pregnant?,string,,,"Never been pregnant|Currently pregnant|Previously pregnant, had a child|Previously pregnant, did not have a child|Not applicable|Don't know",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d4d,"Does this just apply to that past 90 days?  If not, then the participant should be able to check more than one response."
Demographics,marital_status,Marital status,What is your marital status?,string,,,Married|Widowed|Divorced|Separated|Never married,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d5,
Demographics,living_as_married,Married with partner,Are you currently living as married with a romantic partner?,string,,,"Yes, I am living as married with partner|No, I am not living as married with partner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d5a,
Demographics,educ_category,Education,What is the highest grade or level of school you have completed or the highest degree you have received?,string,,,"Did not complete high school|GED or equivalent|Regular high school diploma|Some college credit but less than 1 year of college credit|1 or more years of college credit but no degree|Associate's degree (e.g., AA or AS)|Bachelor's degree (e.g.,  BA or BS)|Graduate degree (e.g., MSW, MA, MS, JD, MD, DSW, EdD, PhD)|Other (specify)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6,
Demographics,educ_highest_grade,Education:  Highest grade level (if less than GED or h.s. diploma),What is the highest grade completed?,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6_grade,
Demographics,educ_other_specified,Education: Other specified,What is the highest grade or level of school you have completed or the highest degree you have received?,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d6_specify_other,
MOUD,intv_while_incarc,Interviewed during incarceration,Interview conducted with participant during incarceration?,boolean,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,u14f,
MOUD,days_incarcerated_interval,Days incarcerated (in past 30/xx days),"During the past xx/30 days, how many days have you been incarcerated?",integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u14g,
MOUD,ever_rx_moud,Medication ever prescribed for opioid use disorder?,Have you ever been prescribed and taken medication to treat opioid use disorder?  (Illicit use should be excluded.),boolean,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,u15,
MOUD,months_daily_bup,Buprenorphine-naloxone or buprenorphine daily sublingual: Lifetime months,"Lifetime months (buprenorphine-naloxone or buprenorphine daily sublingual [e.g., Suboxone film or tablet, generic films or tablets, or Subutex tablets])",integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u15a1,
MOUD,months_sublocade,Buprenorphine injection (Sublocade):  Lifetime months,Lifetime months (buprenorphine injection [Sublocade]),integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u15b1,
MOUD,months_weekly_brixadi,Buprenorphine  weekly injection (Brixadi):  Lifetime months,Lifetime months (buprenorphine weekly injection [Brixadi]),integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u15c1,
MOUD,months_monthly_brixadi,Buprenorphine  monthly injection (Brixadi):  Lifetime months,Lifetime months (buprenorphine monthly injection [Brixadi]),integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u15d1,
MOUD,months_probuphine_implant,Buprenorphine 6-month implant (Probuphine):  Lifetime months,Lifetime months (buprenorphine 6-month implant [Probuphine]),integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u15e1,
MOUD,months_daily_ntx,Naltrexone daily (oral):  Lifetime months,Lifetime months (Naltrexone daily (oral)),integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u15f1,
MOUD,months_monthly_vivitrol,Naltrexone monthly injection (Vivitrol):  Lifetime months,Lifetime months (Naltrexone monthly injection [Vivitrol]),integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u15g1,
MOUD,months_methadone,Methadone daily:  Lifetime months,Lifetime months (methadone daily),integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u15h1,
