name,title,type,description,constraints.enum,module,original_name,constraints.required,constraints.pattern,constraints.minimum,format,source
org_readiness_challenges,Confidence in handling challenges,string,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here feel confident that they can handle the challenges that might arise in implementing [intervention].],1 Disagree|2|3|4|5 Agree,Organizational readiness for implementing change (ORIC),or8,,,,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-14"
org_readiness_determin,Determination in implementating,string,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here are determined to implement [intervention].],1 Disagree|2|3|4|5 Agree,Organizational readiness for implementing change (ORIC),or9,,,,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-15"
org_readiness_coordinate,Confidence in coordinating tasks,string,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here feel confident that they can coordinate tasks so that implementation goes smoothly.],1 Disagree|2|3|4|5 Agree,Organizational readiness for implementing change (ORIC),or10,,,,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-16"
org_readiness_motivation,Motivation to implement,string,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here are motivated to implement [intervention].],1 Disagree|2|3|4|5 Agree,Organizational readiness for implementing change (ORIC),or11,,,,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-17"
org_readiness_politics,Confidence in managing politics,string,Rate each of the following statements on a 5-point scale where 1=Disagree and 5=Agree [People who work here feel confident that they can manage the politics of implementing [intervention].],1 Disagree|2|3|4|5 Agree,Organizational readiness for implementing change (ORIC),or12,,,,,"Shea et al., 2014  - Organizational Readiness for Implementing Change: A psychometric assessment of a 
new measure.  Implementation Science 9:7. https://doi.org/10.1186/1748-5908-9-18"
org_climate_pressure,Pressure,string,Rate each of the following items on a scale of 1-5 where 1=Disagree and 5=Agree [Staff members are under too much pressure to do their jobs effectively],1 Disagree|2|3|4|5 Agree,Organizational Climate: Stress,oc1,,,,,TCU Survey of Organizational Functioning (Stress Measure)  - source document available at: http://ibr.tcu.edu/wp-content/uploads/2013/06/SOF-sg.pdf
org_climate_stress,Stress and strain signs,string,Rate each of the following items on a scale of 1-5 where 1=Disagree and 5=Agree [Staff members are under too much pressure to do their jobs effectively],1 Disagree|2|3|4|5 Agree,Organizational Climate: Stress,oc2,,,,,TCU Survey of Organizational Functioning (Stress Measure)  - source document available at: http://ibr.tcu.edu/wp-content/uploads/2013/06/SOF-sg.pdf
org_climate_workload,Heavy workload,string,Rate each of the following items on a scale of 1-5 where 1=Disagree and 5=Agree [Staff members are under too much pressure to do their jobs effectively],1 Disagree|2|3|4|5 Agree,Organizational Climate: Stress,oc3,,,,,TCU Survey of Organizational Functioning (Stress Measure)  - source document available at: http://ibr.tcu.edu/wp-content/uploads/2013/06/SOF-sg.pdf
org_climate_frustration,Frustration,string,Rate each of the following items on a scale of 1-5 where 1=Disagree and 5=Agree [Staff members are under too much pressure to do their jobs effectively],1 Disagree|2|3|4|5 Agree,Organizational Climate: Stress,oc4,,,,,TCU Survey of Organizational Functioning (Stress Measure)  - source document available at: http://ibr.tcu.edu/wp-content/uploads/2013/06/SOF-sg.pdf
attitude_methadone,MOUD Attitudes: Methadone,string,"Based on your knowledge and personal experience, to what extent do you consider each of the following medications for opioid use disorder to be effective with justice-involved populations? (1=Not at all Effective, 7=Very Effective; provide   Don't know  option.) [Staff members are under too much pressure to do their jobs effectively]",1 Not at all Effective|2|3|4|5|6|7 Very Effective,Staff Attitudes Toward MOUD,sm1,,,,,
attitude_suboxone_oral,MOUD Attitudes: Buprenorphine (Suboxone) - oral,string,"Based on your knowledge and personal experience, to what extent do you consider each of the following medications for opioid use disorder to be effective with justice-involved populations? (1=Not at all Effective, 7=Very Effective; provide   Don't know  option.) [Staff members are under too much pressure to do their jobs effectively]",1 Not at all Effective|2|3|4|5|6|7 Very Effective,Staff Attitudes Toward MOUD,sm2,,,,,
attitude_sublocade_inject,MOUD Attitudes: Buprenorphine (Sublocade) - monthly injection,string,"Based on your knowledge and personal experience, to what extent do you consider each of the following medications for opioid use disorder to be effective with justice-involved populations? (1=Not at all Effective, 7=Very Effective; provide   Don't know  option.) [Staff members are under too much pressure to do their jobs effectively]",1 Not at all Effective|2|3|4|5|6|7 Very Effective,Staff Attitudes Toward MOUD,sm3,,,,,
attitude_naltrexone_oral,MOUD Attitudes: Naltrexone - oral,string,"Based on your knowledge and personal experience, to what extent do you consider each of the following medications for opioid use disorder to be effective with justice-involved populations? (1=Not at all Effective, 7=Very Effective; provide   Don't know  option.) [Staff members are under too much pressure to do their jobs effectively]",1 Not at all Effective|2|3|4|5|6|7 Very Effective,Staff Attitudes Toward MOUD,sm4,,,,,
attitude_naltrexone_inject,MOUD Attitudes: Naltrexone (Vivitrol) - monthly injection,string,"Based on your knowledge and personal experience, to what extent do you consider each of the following medications for opioid use disorder to be effective with justice-involved populations? (1=Not at all Effective, 7=Very Effective; provide   Don't know  option.) [Staff members are under too much pressure to do their jobs effectively]",1 Not at all Effective|2|3|4|5|6|7 Very Effective,Staff Attitudes Toward MOUD,sm5,,,,,
acceptance_methadone,MOUD Acceptance: Methadone,string,"In your opinion, how acceptable is each of the following medications for the treatment of opioid use disorder with justice-involved populations? (1=Completely Unacceptable, 7 = Very Acceptable)[Staff members are under too much pressure to do their jobs effectively]",1 Completely unacceptable|2|3|4|5|6|7 Very Acceptable,Staff Attitudes Toward MOUD,sm6,,,,,
acceptance_suboxone_oral,MOUD Acceptance: Buprenorphine (Suboxone) - oral,string,"In your opinion, how acceptable is each of the following medications for the treatment of opioid use disorder with justice-involved populations? (1=Completely Unacceptable, 7 = Very Acceptable)[Staff members are under too much pressure to do their jobs effectively]",1 Completely unacceptable|2|3|4|5|6|7 Very Acceptable,Staff Attitudes Toward MOUD,sm7,,,,,
acceptance_sublocade_inject,MOUD Acceptance: Buprenorphine (Sublocade) - monthly injection,string,"In your opinion, how acceptable is each of the following medications for the treatment of opioid use disorder with justice-involved populations? (1=Completely Unacceptable, 7 = Very Acceptable)[Staff members are under too much pressure to do their jobs effectively]",1 Completely unacceptable|2|3|4|5|6|7 Very Acceptable,Staff Attitudes Toward MOUD,sm8,,,,,
acceptance_naltrexone_oral,MOUD Acceptance: Naltrexone - oral,string,"In your opinion, how acceptable is each of the following medications for the treatment of opioid use disorder with justice-involved populations? (1=Completely Unacceptable, 7 = Very Acceptable)[Staff members are under too much pressure to do their jobs effectively]",1 Completely unacceptable|2|3|4|5|6|7 Very Acceptable,Staff Attitudes Toward MOUD,sm9,,,,,
acceptance_naltrexone_inject,MOUD Acceptance: Naltrexone (Vivitrol) - monthly injection,string,"In your opinion, how acceptable is each of the following medications for the treatment of opioid use disorder with justice-involved populations? (1=Completely Unacceptable, 7 = Very Acceptable)[Staff members are under too much pressure to do their jobs effectively]",1 Completely unacceptable|2|3|4|5|6|7 Very Acceptable,Staff Attitudes Toward MOUD,sm10,,,,,
training_methadone,MOUD Training: Methadone,string,"To what extent have you received specific training about the following medications for opioid use disorder? (1=No Training, 7=Extensive Training)[Staff members are under too much pressure to do their jobs effectively]",1 No training|2|3|4|5|6|7 Extensive Training,Staff Attitudes Toward MOUD,sm11,,,,,
training_suboxone_oral,MOUD Training: Buprenorphine (Suboxone) - oral,string,"To what extent have you received specific training about the following medications for opioid use disorder? (1=No Training, 7=Extensive Training)[Staff members are under too much pressure to do their jobs effectively]",1 No training|2|3|4|5|6|7 Extensive Training,Staff Attitudes Toward MOUD,sm12,,,,,
training_sublocade_inject,MOUD Training: Buprenorphine (Sublocade) - monthly injection,string,"To what extent have you received specific training about the following medications for opioid use disorder? (1=No Training, 7=Extensive Training)[Staff members are under too much pressure to do their jobs effectively]",1 No training|2|3|4|5|6|7 Extensive Training,Staff Attitudes Toward MOUD,sm13,,,,,
training_naltrexone_oral,MOUD Training: Naltrexone - oral,string,"To what extent have you received specific training about the following medications for opioid use disorder? (1=No Training, 7=Extensive Training)[Staff members are under too much pressure to do their jobs effectively]",1 No training|2|3|4|5|6|7 Extensive Training,Staff Attitudes Toward MOUD,sm14,,,,,
training_naltrexone_inject,MOUD Training: Naltrexone (Vivitrol) - monthly injection,string,"To what extent have you received specific training about the following medications for opioid use disorder? (1=No Training, 7=Extensive Training)[Staff members are under too much pressure to do their jobs effectively]",1 No training|2|3|4|5|6|7 Extensive Training,Staff Attitudes Toward MOUD,sm15,,,,,
outcome_fitting,Implementation Outcome Measures: Fitting,string,Staff members are under too much pressure to do their jobs effectively,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,Implementation Outcome Measures,im1,,,,,
outcome_suitable,Implementation Outcome Measures: Suitable,string,Staff members are under too much pressure to do their jobs effectively,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,Implementation Outcome Measures,im2,,,,,
outcome_applicable,Implementation Outcome Measures: Applicable,string,Staff members are under too much pressure to do their jobs effectively,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,Implementation Outcome Measures,im3,,,,,
outcome_good match,Implementation Outcome Measures: Good match.,string,Staff members are under too much pressure to do their jobs effectively,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,Implementation Outcome Measures,im4,,,,,
outcome_implementable,Implementation Outcome Measures: Implementable.,string,Staff members are under too much pressure to do their jobs effectively,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,Implementation Outcome Measures,im5,,,,,
outcome_possible,Implementation Outcome Measures: Possible,string,Staff members are under too much pressure to do their jobs effectively,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,Implementation Outcome Measures,im6,,,,,
outcome_doable,Implementation Outcome Measures: Doable,string,Staff members are under too much pressure to do their jobs effectively,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,Implementation Outcome Measures,im7,,,,,
outcome_easy to use,Implementation Outcome Measures: Easy to use,string,Staff members are under too much pressure to do their jobs effectively,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,Implementation Outcome Measures,im8,,,,,
outcome_approval,Implementation Outcome Measures: Approval,string,Staff members are under too much pressure to do their jobs effectively,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,Implementation Outcome Measures,im9,,,,,
outcome_appealing,Implementation Outcome Measures: Appealing,string,Staff members are under too much pressure to do their jobs effectively,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,Implementation Outcome Measures,im10,,,,,
outcome_like,Implementation Outcome Measures: Like,string,Staff members are under too much pressure to do their jobs effectively,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,Implementation Outcome Measures,im11,,,,,
outcome_welcome,Implementation Outcome Measures: Welcome,string,Staff members are under too much pressure to do their jobs effectively,1 Completely disagree|2 Disagree|3 Neither agree nor disagree|4 Agree|5 Completely agree,Implementation Outcome Measures,im12,,,,,
